data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2021-06-20T17:00:00,ITA,2444,389,2833,84877,87710,-1440,881,4037996,127270,,,4252976,69916221,29139717,,12,,,4102088,150888,51109726,18806495,4252095,881,4035692,2304,2504,-60,127253,17,394,-5,69765699,150522,29100240,39477
2021-06-21T17:00:00,ITA,2390,385,2775,74078,76853,-10857,495,4049316,127291,,,4253460,69997973,29161438,,9,,,4102545,150915,51149035,18848938,4252976,484,4037996,11320,2444,-54,127270,21,389,-4,69916221,81752,29139717,21721
2021-06-22T17:00:00,ITA,2289,362,2651,70313,72964,-3889,835,4054008,127322,,,4254294,70190855,29210013,,10,,,4103332,150962,51242092,18948763,4253460,834,4049316,4692,2390,-101,127291,31,385,-23,69997973,192882,29161438,48575
2021-06-23T17:00:00,ITA,2140,344,2484,66135,68619,-4345,951,4059463,127334,,,4255434,70388886,29259826,,4,,,4104433,151001,51346290,19042596,4254294,1140,4054008,5455,2289,-149,127322,12,362,-18,70190855,198031,29210013,49813
2021-06-24T17:00:00,ITA,2027,328,2355,59954,62309,-6310,927,4066029,127362,,,4255700,70577077,29271255,,12,,,4104995,150705,51428966,19148111,4255434,266,4059463,6566,2140,-113,127334,28,344,-16,70388886,188191,29259826,11429
2021-06-25T17:00:00,ITA,1899,306,2205,58030,60235,-2074,753,4068798,127418,,,4256451,70769618,29313666,,8,,,4105701,150750,51505508,19264110,4255700,751,4066029,2769,2027,-128,127362,56,328,-22,70577077,192541,29271255,42411
2021-06-26T17:00:00,ITA,1771,298,2069,55663,57732,-2503,838,4072099,127458,,,4257289,70994111,29367696,,9,,,4106499,150790,51585935,19408176,4256451,838,4068798,3301,1899,-128,127418,40,306,-8,70769618,224493,29313666,54030
2021-06-27T17:00:00,ITA,1743,294,2037,55125,57162,-570,782,4073435,127472,,,4258069,71131694,29405776,,10,,,4107243,150826,51647749,19483945,4257289,780,4072099,1336,1771,-28,127458,14,298,-4,70994111,137583,29367696,38080
2021-06-28T17:00:00,ITA,1723,289,2012,52670,54682,-2480,389,4076274,127500,,,4258456,71207555,29428012,,5,,,4107618,150838,51686201,19521354,4258069,387,4073435,2839,1743,-20,127472,28,294,-5,71131694,75861,29405776,22236
2021-06-29T17:00:00,ITA,1676,270,1946,50878,52824,-1858,679,4078767,127542,,,4259133,71398190,29473226,,9,,,4108244,150889,51772454,19625736,4258456,677,4076274,2493,1723,-47,127500,42,289,-19,71207555,190635,29428012,45214
2021-06-30T17:00:00,ITA,1593,247,1840,48601,50441,-2383,776,4081902,127566,,,4259909,71583206,29517174,,4,,,4108966,150943,51864808,19718398,4259133,776,4078767,3135,1676,-83,127542,24,270,-23,71398190,185016,29473226,43948
2021-07-01T17:00:00,ITA,1532,229,1761,47597,49358,-1083,882,4083843,127587,,,4260788,71771680,29563394,,7,,,4109793,150995,51953621,19818059,4259909,879,4081902,1941,1593,-61,127566,21,247,-18,71583206,188474,29517174,46220
2021-07-02T17:00:00,ITA,1469,213,1682,46097,47779,-1579,794,4086188,127615,,,4261582,71970918,29609709,,3,,,4110555,151027,52036180,19934738,4260788,794,4083843,2345,1532,-63,127587,28,229,-16,71771680,199238,29563394,46315
2021-07-03T17:00:00,ITA,1394,204,1598,43978,45576,-2203,932,4089298,127637,,,4262511,72199045,29666383,,2,,,4111443,151068,52121065,20077980,4261582,929,4086188,3110,1469,-75,127615,22,213,-9,71970918,228127,29609709,56674
2021-07-04T17:00:00,ITA,1364,197,1561,43103,44664,-912,808,4091004,127649,,,4263317,72340685,29708383,,7,,,4112192,151125,52185355,20155330,4262511,806,4089298,1706,1394,-30,127637,12,204,-7,72199045,141640,29666383,42000
2021-07-05T17:00:00,ITA,1337,191,1528,42003,43531,-1133,480,4092586,127680,,,4263797,72415334,29730813,,2,,,4112667,151130,52219735,20195599,4263317,480,4091004,1582,1364,-27,127649,31,197,-6,72340685,74649,29708383,22430
2021-07-06T17:00:00,ITA,1271,187,1458,41121,42579,-952,907,4094421,127704,,,4264704,72607758,29777195,,11,,,4113450,151254,52306087,20301671,4263797,907,4092586,1835,1337,-66,127680,24,191,-4,72415334,192424,29730813,46382
2021-07-07T17:00:00,ITA,1234,180,1414,40426,41840,-739,1010,4096156,127718,,,4265714,72785735,29818970,,8,,,4114440,151274,52395134,20390601,4264704,1010,4094421,1735,1271,-37,127704,14,187,-7,72607758,177977,29777195,41775
2021-07-08T17:00:00,ITA,1197,180,1377,40092,41469,-371,1394,4097905,127731,,,4267105,72960587,29863554,,8,,,4115727,151378,52481505,20479082,4265714,1391,4096156,1749,1234,-37,127718,13,180,0,72785735,174852,29818970,44584
2021-07-09T17:00:00,ITA,1167,169,1336,40060,41396,-73,1390,4099339,127756,,,4268491,73157509,29912681,,8,,,4117016,151475,52563607,20593902,4267105,1386,4097905,1434,1197,-30,127731,25,180,-11,72960587,196922,29863554,49127
2021-07-10T17:00:00,ITA,1147,161,1308,39707,41015,-381,1400,4101102,127768,,,4269885,73365928,29960650,,6,,,4118325,151560,52642946,20722982,4268491,1394,4099339,1763,1167,-20,127756,12,169,-8,73157509,208419,29912681,47969
2021-07-11T17:00:00,ITA,1134,161,1295,39786,41081,66,1391,4102420,127775,,,4271276,73509260,29999917,,6,,,4119601,151675,52708153,20801107,4269885,1391,4101102,1318,1147,-13,127768,7,161,0,73365928,143332,29960650,39267
2021-07-12T17:00:00,ITA,1149,158,1307,39119,40426,-655,888,4103949,127788,,,4272163,73582831,30022409,,4,,,4120462,151701,52745243,20837588,4271276,887,4102420,1529,1134,15,127775,13,161,-3,73509260,73571,29999917,22492
2021-07-13T17:00:00,ITA,1128,157,1285,39364,40649,223,1534,4105236,127808,,,4273693,73775374,30067064,,7,,,4121797,151896,52831764,20943610,4272163,1530,4103949,1287,1149,-21,127788,20,158,-1,73582831,192543,30022409,44655
2021-07-14T17:00:00,ITA,1108,151,1259,40441,41700,1051,2153,4106315,127831,,,4275846,73985973,30116643,,7,,,4123761,152085,52933366,21052607,4273693,2153,4105236,1079,1128,-20,127808,23,157,-6,73775374,210599,30067064,49579
2021-07-15T17:00:00,ITA,1089,153,1242,39658,40900,-800,2455,4109579,127840,,,4278319,74176895,30161134,,11,,,4126031,152288,53025450,21151445,4275846,2473,4106315,3264,1108,-19,127831,9,151,2,73985973,190922,30116643,44491
2021-07-16T17:00:00,ITA,1088,161,1249,41465,42714,1814,2898,4110649,127851,,,4281214,74382497,30208376,,13,,,4128671,152543,53116943,21265554,4278319,2895,4109579,1070,1089,-1,127840,11,153,8,74176895,205602,30161134,47242
2021-07-17T17:00:00,ITA,1111,162,1273,42218,43491,777,3121,4112977,127864,,,4284332,74627294,30262747,,9,,,4131585,152747,53205793,21421501,4281214,3118,4110649,2328,1088,23,127851,13,161,1,74382497,244797,30208376,54371
2021-07-18T17:00:00,ITA,1136,156,1292,44821,46113,2622,3127,4113478,127867,,,4287458,74792563,30307547,,3,,,4134553,152905,53280157,21512406,4284332,3126,4112977,501,1111,25,127864,3,162,-6,74627294,165269,30262747,44800
2021-07-19T17:00:00,ITA,1188,162,1350,46175,47525,1412,2072,4114129,127874,,,4289528,74881652,30333358,,16,,,4136595,152933,53327382,21554270,4287458,2070,4113478,651,1136,52,127867,7,156,6,74792563,89089,30307547,25811
2021-07-20T17:00:00,ITA,1194,165,1359,47951,49310,1785,3558,4115889,127884,,,4293083,75100357,30384547,,11,,,4139605,153478,53421858,21678499,4289528,3555,4114129,1760,1188,6,127874,10,162,3,74881652,218705,30333358,51189
2021-07-21T17:00:00,ITA,1196,158,1354,49954,51308,1998,4259,4118124,127905,,,4297337,75335454,30435355,,9,,,4143579,153758,53537923,21797531,4293083,4254,4115889,2235,1194,2,127884,21,165,-7,75100357,235097,30384547,50808
2021-07-22T17:00:00,ITA,1234,158,1392,53474,54866,3558,5057,4119607,127920,,,4302393,75555232,30492144,,12,,,4148170,154223,53639886,21915346,4297337,5056,4118124,1483,1196,38,127905,15,158,0,75335454,219778,30435355,56789
2021-07-23T17:00:00,ITA,1304,155,1459,57293,58752,3886,5143,4120846,127937,,,4307535,75792867,30546191,,10,,,4153065,154470,53739841,22053026,4302393,5142,4119607,1239,1234,70,127920,17,158,-3,75555232,237635,30492144,54047
2021-07-24T17:00:00,ITA,1340,172,1512,61011,62523,3771,5140,4122208,127942,,,4312673,76051796,30606618,,21,,,4157876,154797,53838808,22212988,4307535,5138,4120846,1362,1304,36,127937,5,155,17,75792867,258929,30546191,60427
2021-07-25T17:00:00,ITA,1392,178,1570,64687,66257,3734,4743,4123209,127949,,,4317415,76228449,30656190,,16,,,4162381,155034,53914872,22313577,4312673,4742,4122208,1001,1340,52,127942,7,172,6,76051796,176653,30606618,49572
2021-07-26T17:00:00,ITA,1512,182,1694,66542,68236,1979,3117,4124323,127971,,,4320530,76316696,30680764,,11,,,4165378,155152,53963263,22353433,4317415,3115,4123209,1114,1392,120,127949,22,178,4,76228449,88247,30656190,24574
2021-07-27T17:00:00,ITA,1611,189,1800,68510,70310,2074,4522,4126741,127995,,,4325046,76558586,30735682,,16,,,4169397,155649,54064580,22494006,4320530,4516,4124323,2418,1512,99,127971,24,182,7,76316696,241890,30680764,54918
2021-07-28T17:00:00,ITA,1685,183,1868,72293,74161,3851,5696,4128568,128010,,,4330739,76807058,30794194,,9,,,4175065,155674,54187112,22619946,4325046,5693,4126741,1827,1611,74,127995,15,189,-6,76558586,248472,30735682,58512
2021-07-29T17:00:00,ITA,1730,194,1924,76560,78484,4323,6171,4130393,128029,,,4336906,77031848,30853645,,20,,,4180880,156026,54294154,22737694,4330739,6167,4128568,1825,1685,45,128010,19,183,11,76807058,224790,30794194,59451
2021-07-30T17:00:00,ITA,1812,201,2013,80949,82962,4478,6619,4132510,128047,,,4343519,77279334,30909526,,20,,,4186881,156638,54404275,22875059,4336906,6613,4130393,2117,1730,82,128029,18,194,7,77031848,247486,30853645,55881
2021-07-31T17:00:00,ITA,1851,214,2065,85220,87285,4323,6513,4134680,128063,,,4350028,77544194,30971078,,25,,,4193029,156999,54497272,23046922,4343519,6509,4132510,2170,1812,39,128047,16,201,13,77279334,264860,30909526,61552
2021-08-01T17:00:00,ITA,1954,230,2184,89166,91350,4065,5321,4135930,128065,,,4355348,77711955,31019713,,22,,,4198138,157210,54569773,23142182,4350028,5320,4134680,1250,1851,103,128063,2,214,16,77544194,167761,30971078,48635
2021-08-02T17:00:00,ITA,2070,249,2319,90698,93017,1667,3190,4137428,128088,,,4358533,77795178,31042444,,25,,,4201223,157310,54612288,23182890,4355348,3185,4135930,1498,1954,116,128065,23,230,19,77711955,83223,31019713,22731
2021-08-03T17:00:00,ITA,2196,258,2454,91762,94216,1199,4845,4141043,128115,,,4363374,78004897,31092939,,26,,,4205645,157729,54704552,23300345,4358533,4841,4137428,3615,2070,126,128088,27,249,9,77795178,209719,31042444,50495
2021-08-04T17:00:00,ITA,2309,260,2569,94651,97220,3004,6596,4144608,128136,,,4369964,78220645,31146880,,14,,,4211887,158077,54812163,23408482,4363374,6590,4141043,3565,2196,113,128115,21,258,2,78004897,215748,31092939,53941
2021-08-05T17:00:00,ITA,2409,268,2677,98369,101046,3826,7230,4147979,128163,,,4377188,78432872,31199139,,25,,,4218803,158385,54910966,23521906,4369964,7224,4144608,3371,2309,100,128136,27,260,8,78220645,212227,31146880,52259
2021-08-06T17:00:00,ITA,2449,277,2726,101959,104685,3639,6599,4150915,128187,,,4383787,78677529,31256084,,32,,,4225227,158560,55012203,23665326,4377188,6599,4147979,2936,2409,40,128163,24,268,9,78432872,244657,31199139,56945
2021-08-07T17:00:00,ITA,2533,288,2821,105714,108535,3850,6902,4153940,128209,,,4390684,78971392,31327315,,29,,,4231853,158831,55108789,23862603,4383787,6897,4150915,3025,2449,84,128187,22,277,11,78677529,293863,31256084,71231
2021-08-08T17:00:00,ITA,2631,299,2930,109336,112266,3731,5735,4155931,128220,,,4396417,79174903,31385026,,24,,,4237325,159092,55182257,23992646,4390684,5733,4153940,1991,2533,98,128209,11,288,11,78971392,203511,31327315,57711
2021-08-09T17:00:00,ITA,2786,323,3109,111746,114855,2589,4200,4157520,128242,,,4400617,79277767,31411098,,39,,,4241413,159204,55225285,24052482,4396417,4200,4155931,1589,2631,155,128220,22,299,24,79174903,102864,31385026,26072
2021-08-10T17:00:00,ITA,2880,322,3202,113121,116323,1468,5636,4161645,128273,,,4406241,79519533,31467678,,26,,,4246602,159639,55314248,24205285,4400617,5624,4157520,4125,2786,94,128242,31,323,-1,79277767,241766,31411098,56580
2021-08-11T17:00:00,ITA,2948,337,3285,115476,118761,2438,6968,4166095,128304,,,4413162,79749572,31523180,,40,,,4253264,159898,55419637,24329935,4406241,6921,4161645,4450,2880,68,128273,31,322,15,79519533,230039,31467678,55502
2021-08-12T17:00:00,ITA,2975,352,3327,117958,121285,2524,7270,4170810,128334,,,4420429,79966541,31576587,,37,,,4260336,160093,55513139,24453402,4413162,7267,4166095,4715,2948,27,128304,30,337,15,79749572,216969,31523180,53407
2021-08-13T17:00:00,ITA,3033,369,3402,120848,124250,2965,7409,4175198,128379,,,4427827,80192027,31631342,,35,,,4267344,160483,55608773,24583254,4420429,7398,4170810,4388,2975,58,128334,45,352,17,79966541,225486,31576587,54755
2021-08-14T17:00:00,ITA,3101,372,3473,122993,126466,2216,7188,4180129,128413,,,4435008,80446033,31691084,,37,,,4274315,160693,55698982,24747051,4427827,7181,4175198,4931,3033,68,128379,34,369,3,80192027,254006,31631342,59742
2021-08-15T17:00:00,ITA,3162,384,3546,124982,128528,2062,5664,4183709,128432,,,4440669,80606903,31732915,,29,,,4279835,160834,55763772,24843131,4435008,5661,4180129,3580,3101,61,128413,19,372,12,80446033,160870,31691084,41831
2021-08-16T17:00:00,ITA,3334,404,3738,124958,128696,168,3674,4187186,128456,,,4444338,80680924,31753974,,32,,,4283503,160835,55801186,24879738,4440669,3669,4183709,3477,3162,172,128432,24,384,20,80606903,74021,31732915,21059
2021-08-17T17:00:00,ITA,3472,423,3895,125221,129116,420,5273,4191980,128510,,,4449606,80918997,31805240,,49,,,4288619,160987,55887829,25031168,4444338,5268,4187186,4794,3334,138,128456,54,404,19,80680924,238073,31753974,51266
2021-08-18T17:00:00,ITA,3559,442,4001,124781,128782,-334,7162,4199404,128579,,,4456765,81145420,31861792,,50,,,4295456,161309,55987914,25157506,4449606,7159,4191980,7424,3472,87,128510,69,423,19,80918997,226423,31805240,56552
2021-08-19T17:00:00,ITA,3627,460,4087,126415,130502,1720,7260,4204869,128634,,,4464005,81351951,31914369,,40,,,4302436,161569,56076867,25275084,4456765,7240,4199404,5465,3559,68,128579,55,442,18,81145420,206531,31861792,52577
2021-08-20T17:00:00,ITA,3692,455,4147,127315,131462,960,7224,4211080,128683,,,4471225,81572607,31964840,,26,,,4309435,161790,56162599,25410008,4464005,7220,4204869,6211,3627,65,128634,49,460,-5,81351951,220656,31914369,50471
2021-08-21T17:00:00,ITA,3733,466,4199,129222,133421,1959,7470,4216542,128728,,,4478691,81827825,32024485,,40,,,4316649,162042,56252852,25574973,4471225,7466,4211080,5462,3692,41,128683,45,455,11,81572607,255218,31964840,59645
2021-08-22T17:00:00,ITA,3767,472,4239,130699,134938,1517,5923,4220924,128751,,,4484613,82003364,32072928,,33,,,4322377,162236,56322084,25681280,4478691,5922,4216542,4382,3733,34,128728,23,466,6,81827825,175539,32024485,48443
2021-08-23T17:00:00,ITA,3928,485,4413,131142,135555,617,4168,4224429,128795,,,4488779,82104705,32098419,,45,,,4326430,162349,56364064,25740641,4484613,4166,4220924,3505,3767,161,128751,44,472,13,82003364,101341,32072928,25491
2021-08-24T17:00:00,ITA,4036,504,4540,130785,135325,-230,6076,4230677,128855,,,4494857,82370951,32155807,,46,,,4332200,162657,56461924,25909027,4488779,6078,4224429,6248,3928,108,128795,60,485,19,82104705,266246,32098419,57388
2021-08-25T17:00:00,ITA,4023,499,4522,131202,135724,399,7548,4237758,128914,,,4502396,82615371,32214570,,34,,,4339465,162931,56574161,26041210,4494857,7539,4230677,7081,4036,-13,128855,59,504,-5,82370951,244420,32155807,58763
2021-08-26T17:00:00,ITA,4059,503,4562,132495,137057,1333,7221,4243597,128957,,,4509611,82836243,32268573,,38,,,4346619,162992,56670393,26165850,4502396,7215,4237758,5839,4023,36,128914,43,499,4,82615371,220872,32214570,54003
2021-08-27T17:00:00,ITA,4114,511,4625,133493,138118,1061,7826,4250314,129002,,,4517434,83101723,32326275,,42,,,4354207,163227,56770912,26330811,4509611,7823,4243597,6717,4059,55,128957,45,503,8,82836243,265480,32268573,57702
2021-08-28T17:00:00,ITA,4111,511,4622,134806,139428,1310,6860,4255808,129056,,,4524292,83395187,32388723,,42,,,4360590,163702,56866439,26528748,4517434,6858,4250314,5494,4114,-3,129002,54,511,0,83101723,293464,32326275,62448
2021-08-29T17:00:00,ITA,4133,525,4658,136389,141047,1619,5959,4260106,129093,,,4530246,83618273,32444844,,44,,,4366367,163879,56947693,26670580,4524292,5954,4255808,4298,4111,22,129056,37,511,14,83395187,223086,32388723,56121
2021-08-30T17:00:00,ITA,4264,548,4812,136581,141393,346,4257,4263960,129146,,,4534499,83728076,32474220,,50,,,4370535,163964,56997959,26730117,4530246,4253,4260106,3854,4133,131,129093,53,525,23,83618273,109803,32444844,29376
2021-08-31T17:00:00,ITA,4252,544,4796,133129,137925,-3468,5498,4272845,129221,,,4539991,84035719,32537606,,49,,,4375509,164482,57111626,26924093,4534499,5492,4263960,8885,4264,-12,129146,75,548,-4,83728076,307643,32474220,63386
2021-09-01T17:00:00,ITA,4231,540,4771,131807,136578,-1347,6503,4280619,129290,,,4546487,84339436,32605657,,40,,,4381723,164764,57232920,27106516,4539991,6496,4272845,7774,4252,-21,129221,69,544,-4,84035719,303717,32537606,68051
2021-09-02T17:00:00,ITA,4205,555,4760,132138,136898,320,6761,4286991,129352,,,4553241,84632503,32673083,,49,,,4388042,165199,57350136,27282367,4546487,6754,4280619,6372,4231,-26,129290,62,540,15,84339436,293067,32605657,67426
2021-09-03T17:00:00,ITA,4164,556,4720,132305,137025,127,6735,4293535,129410,,,4559970,84928897,32736593,,42,,,4394591,165379,57475534,27453363,4553241,6729,4286991,6544,4205,-41,129352,58,555,1,84632503,296394,32673083,63510
2021-09-04T17:00:00,ITA,4204,569,4773,132266,137039,14,6157,4299621,129466,,,4566126,85260247,32807288,,53,,,4400397,165729,57568980,27691267,4559970,6156,4293535,6086,4164,40,129410,56,556,13,84928897,331350,32736593,70695
2021-09-05T17:00:00,ITA,4216,572,4788,131914,136702,-337,5315,4305223,129515,,,4571440,85520003,32868817,,37,,,4405560,165880,57647826,27872177,4566126,5314,4299621,5602,4204,12,129466,49,569,3,85260247,259756,32807288,61529
2021-09-06T17:00:00,ITA,4302,570,4872,131148,136020,-682,3361,4309200,129567,,,4574787,85654396,32897713,,32,,,4408937,165850,57696131,27958265,4571440,3347,4305223,3977,4216,86,129515,52,572,-2,85520003,134393,32868817,28896
2021-09-07T17:00:00,ITA,4307,563,4870,128917,133787,-2233,4720,4316077,129638,,,4579502,85973261,32963747,,40,,,4413189,166313,57802636,28170625,4574787,4715,4309200,6877,4302,5,129567,71,570,-7,85654396,318865,32897713,66034
2021-09-08T17:00:00,ITA,4235,564,4799,126782,131581,-2206,5923,4324135,129707,,,4585423,86275241,33029381,,38,,,4418912,166511,57934218,28341023,4579502,5921,4316077,8058,4307,-72,129638,69,563,1,85973261,301980,32963747,65634
2021-09-09T17:00:00,ITA,4230,558,4788,125130,129918,-1663,5522,4331257,129766,,,4590941,86566709,33089916,,38,,,4424247,166694,58047899,28518810,4585423,5518,4324135,7122,4235,-5,129707,59,564,-6,86275241,291468,33029381,60535
2021-09-10T17:00:00,ITA,4164,548,4712,123777,128489,-1429,5621,4338241,129828,,,4596558,86852737,33147401,,37,,,4429624,166934,58154366,28698371,4590941,5617,4331257,6984,4230,-66,129766,62,558,-10,86566709,286028,33089916,57485
2021-09-11T17:00:00,ITA,4117,547,4664,122962,127626,-863,5193,4344238,129885,,,4601749,87186478,33214819,,40,,,4434566,167183,58258247,28928231,4596558,5191,4338241,5997,4164,-47,129828,57,548,-1,86852737,333741,33147401,67418
2021-09-12T17:00:00,ITA,4113,559,4672,122662,127334,-292,4664,4349160,129919,,,4606413,87453836,33273371,,36,,,4439082,167331,58348470,29105366,4601749,4664,4344238,4922,4117,-4,129885,34,547,12,87186478,267358,33214819,58552
2021-09-13T17:00:00,ITA,4200,563,4763,121141,125904,-1430,2800,4353346,129955,,,4609205,87573881,33300869,,35,,,4441836,167369,58398719,29175162,4606413,2792,4349160,4186,4113,87,129919,36,559,4,87453836,120045,33273371,27498
2021-09-14T17:00:00,ITA,4165,554,4719,117621,122340,-3564,4021,4360847,130027,,,4613214,87892474,33365842,,29,,,4445492,167722,58507212,29385262,4609205,4009,4353346,7501,4200,-35,129955,72,563,-9,87573881,318593,33300869,64973
2021-09-15T17:00:00,ITA,4128,540,4668,113819,118487,-3853,4830,4369453,130100,,,4618040,88210140,33423482,,32,,,4450037,168003,58633294,29576846,4613214,4826,4360847,8606,4165,-37,130027,73,554,-14,87892474,317666,33365842,57640
2021-09-16T17:00:00,ITA,4018,531,4549,111793,116342,-2145,5117,4376646,130167,,,4623155,88516407,33481704,,30,,,4454844,168311,58745788,29770619,4618040,5115,4369453,7193,4128,-110,130100,67,540,-9,88210140,306267,33423482,58222
2021-09-17T17:00:00,ITA,3989,525,4514,109757,114271,-2071,4552,4383195,130233,,,4627699,88800986,33536784,,34,,,4459202,168497,58845032,29955954,4623155,4544,4376646,6549,4018,-29,130167,66,531,-6,88516407,284579,33481704,55080
2021-09-18T17:00:00,ITA,3958,519,4477,108563,113040,-1231,4578,4388951,130284,,,4632275,89156919,33604895,,31,,,4463482,168793,58960530,30196389,4627699,4576,4383195,5756,3989,-31,130233,51,525,-6,88800986,355933,33536784,68111
2021-09-19T17:00:00,ITA,3929,530,4459,109077,113536,496,3838,4392265,130310,,,4636111,89420490,33659395,,40,,,4467105,169006,59041923,30378567,4632275,3836,4388951,3314,3958,-29,130284,26,519,11,89156919,263571,33604895,54500
2021-09-20T17:00:00,ITA,3982,523,4505,108009,112514,-1022,2407,4395648,130354,,,4638516,89542931,33686794,,21,,,4469422,169094,59091430,30451501,4636111,2405,4392265,3383,3929,53,130310,44,530,-7,89420490,122441,33659395,27399
2021-09-21T17:00:00,ITA,3937,516,4453,105060,109513,-3001,3377,4401956,130421,,,4641890,89873206,33746053,,38,,,4472447,169443,59203516,30669690,4638516,3374,4395648,6308,3982,-45,130354,67,523,-7,89542931,330275,33686794,59259
2021-09-22T17:00:00,ITA,3796,513,4309,102250,106559,-2954,3970,4408806,130488,,,4645853,90166078,33802623,,40,,,4476186,169667,59327279,30838799,4641890,3963,4401956,6850,3937,-141,130421,67,516,-3,89873206,292872,33746053,56570
2021-09-23T17:00:00,ITA,3650,505,4155,100928,105083,-1476,4061,4414272,130551,,,4649906,90477853,33860806,,30,,,4479995,169911,59440447,31037406,4645853,4053,4408806,5466,3796,-146,130488,63,513,-8,90166078,311775,33802623,58183
2021-09-24T17:00:00,ITA,3553,489,4042,99514,103556,-1527,3797,4419537,130603,,,4653696,90765140,33916870,,35,,,4483531,170165,59546939,31218201,4649906,3790,4414272,5265,3650,-97,130551,52,505,-16,90477853,287287,33860806,56064
2021-09-25T17:00:00,ITA,3497,481,3978,98596,102574,-982,3525,4423988,130653,,,4657215,91122631,33983005,,26,,,4486819,170396,59652090,31470541,4653696,3519,4419537,4451,3553,-56,130603,50,489,-8,90765140,357491,33916870,66135
2021-09-26T17:00:00,ITA,3435,483,3918,98326,102244,-330,3099,4427373,130697,,,4660314,91398852,34041736,,22,,,4489787,170527,59739534,31659318,4657215,3099,4423988,3385,3497,-62,130653,44,481,2,91122631,276221,33983005,58731
2021-09-27T17:00:00,ITA,3487,488,3975,97105,101080,-1164,1772,4430265,130742,,,4662087,91522929,34067918,,29,,,4491477,170610,59787712,31735217,4660314,1773,4427373,2892,3435,52,130697,45,483,5,91398852,124077,34041736,26182
2021-09-28T17:00:00,ITA,3418,459,3877,94995,98872,-2208,2985,4435370,130807,,,4665049,91861354,34132266,,19,,,4494108,170941,59905325,31956029,4662087,2962,4430265,5105,3487,-69,130742,65,488,-29,91522929,338425,34067918,64348
2021-09-29T17:00:00,ITA,3317,450,3767,92212,95979,-2893,3212,4441412,130870,,,4668261,92156806,34191218,,23,,,4497094,171167,60028656,32128150,4665049,3212,4435370,6042,3418,-101,130807,63,459,-9,91861354,295452,34132266,58952
2021-09-30T17:00:00,ITA,3198,440,3638,90670,94308,-1671,3804,4447126,130921,,,4672355,92465642,34253561,,26,,,4500976,171379,60150908,32314734,4668261,4094,4441412,5714,3317,-119,130870,51,450,-10,92156806,308836,34191218,62343
2021-10-01T17:00:00,ITA,3118,429,3547,90105,93652,-656,3405,4451133,130973,,,4675758,92759111,34310886,,20,,,4504170,171588,60259807,32499304,4672355,3403,4447126,4007,3198,-80,130921,52,440,-11,92465642,293469,34253561,57325
2021-10-02T17:00:00,ITA,3057,432,3489,89260,92749,-903,3312,4455320,130998,,,4679067,93115007,34378233,,27,,,4507291,171776,60372560,32742447,4675758,3309,4451133,4187,3118,-61,130973,25,429,3,92759111,355896,34310886,67347
2021-10-03T17:00:00,ITA,2991,431,3422,89545,92967,218,2968,4458036,131031,,,4682034,93400967,34432558,,21,,,4510102,171932,60459617,32941350,4679067,2967,4455320,2716,3057,-66,130998,33,432,-1,93115007,285960,34378233,54325
2021-10-04T17:00:00,ITA,3032,437,3469,88627,92096,-871,1612,4460482,131068,,,4683646,93523181,34458627,,22,,,4511622,172024,60510390,33012791,4682034,1612,4458036,2446,2991,41,131031,37,431,6,93400967,122214,34432558,26069
2021-10-05T17:00:00,ITA,2968,433,3401,86898,90299,-1797,2466,4464692,131118,,,4686109,93845463,34515695,,18,,,4513785,172324,60615507,33229956,4683646,2463,4460482,4210,3032,-64,131068,50,437,-4,93523181,322282,34458627,57068
2021-10-06T17:00:00,ITA,2872,415,3287,84960,88247,-2052,3235,4469937,131157,,,4689341,94147236,34573023,,24,,,4516730,172611,60748686,33398550,4686109,3232,4464692,5245,2968,-96,131118,39,433,-18,93845463,301773,34515695,57328
2021-10-07T17:00:00,ITA,2824,403,3227,83946,87173,-1074,2938,4473903,131198,,,4692274,94444592,34626978,,24,,,4519532,172742,60863483,33581109,4689341,2933,4469937,3966,2872,-48,131157,41,415,-12,94147236,297356,34573023,53955
2021-10-08T17:00:00,ITA,2742,383,3125,82801,85926,-1247,3023,4478137,131228,,,4695291,94716158,34679503,,17,,,4522420,172871,60971361,33744797,4692274,3017,4473903,4234,2824,-82,131198,30,403,-20,94444592,271566,34626978,52525
2021-10-09T17:00:00,ITA,2692,367,3059,82243,85302,-624,2748,4481462,131274,,,4698038,95061127,34739517,,16,,,4524928,173110,61075375,33985752,4695291,2747,4478137,3325,2742,-50,131228,46,383,-16,94716158,344969,34679503,60014
